,2003-04-01_SIDToday_-_Deployed_SIGINT_Analysts--An_Urgent_Need.pdf.txt,2003-04-01_SIDToday_-_Practical_Jokes_and_April_Fools.pdf.txt,2003-04-02_SIDToday_-_Last_QUICKMASK_Training_Today.pdf.txt,2003-04-02_SIDToday_-_New_Hire_Whats_On_Your_Mind_Session_--_Today.pdf.txt,2003-04-02_SIDToday_-_SIGINT_Strategy__The_Importance_of_Common_Goals.pdf.txt,2003-04-03_SIDToday_-_GEOCELL_Supports_IRAQI_FREEDOM.pdf.txt,2003-04-03_SIDToday_-_SID_Leadership_Transition_Passing_the_Baton.pdf.txt,2003-04-03_SIDToday_-_Schedule_for_3rd_and_4th_Quarter_Tools_Courses.pdf.txt,2003-04-04_SIDToday_-_Profiles_SID_Communications_and_Support_Operations.pdf.txt,2003-04-04_SIDToday_-_Read_All_About_Us.pdf.txt,2003-04-07_SIDToday_-_ICAP_Call_for_Applications.pdf.txt,2003-04-07_SIDToday_-_Support_to_UN_Diplomatic_Efforts_on_Iraq.pdf.txt,2003-04-08_SIDToday_-_Profile_SID_Registry_-_Grand_Central.pdf.txt,2003-04-08_SIDToday_-_Promotion_Cycle_Recap.pdf.txt,2003-04-09_SIDToday_-_Profile_SIGINT_Support_Services.pdf.txt,2003-04-09_SIDToday_-_Uncovering_North_Korea_Nuclear_Programs.pdf.txt,Sum
the,0.014814814814814815,0.05862646566164154,0.03910614525139665,0.03669724770642202,0.06744186046511629,0.043227665706051875,0.04664723032069971,0.01240694789081886,0.03088803088803089,0.05434782608695652,0.058419243986254296,0.07093821510297482,0.03155339805825243,0.05741626794258373,0.03048780487804878,0.046583850931677016,0.6996030156917402
to,0.044444444444444446,0.03015075376884422,0.0223463687150838,0.027522935779816515,0.03255813953488372,0.025936599423631124,0.03644314868804665,0.05707196029776675,0.023166023166023165,0.015217391304347827,0.020618556701030927,0.043478260869565216,0.03155339805825243,0.045454545454545456,0.01524390243902439,0.027950310559006212,0.49915673920431286
and,0.014814814814814815,0.023450586264656615,0.01675977653631285,0.013761467889908258,0.01627906976744186,0.043227665706051875,0.04081632653061224,0.007444168734491315,0.03088803088803089,0.021739130434782608,0.037800687285223365,0.02288329519450801,0.021844660194174758,0.03588516746411483,0.018292682926829267,0.031055900621118012,0.3969434312530715
of,0.011111111111111112,0.02512562814070352,0.0111731843575419,0.009174311926605505,0.03255813953488372,0.03170028818443804,0.018950437317784258,0.0024813895781637717,0.02702702702702703,0.0391304347826087,0.020618556701030927,0.02517162471395881,0.021844660194174758,0.019138755980861243,0.024390243902439025,0.018633540372670808,0.33822933382600306
u,0.007407407407407408,0.011725293132328308,0.01675977653631285,0.01834862385321101,0.011627906976744186,0.005763688760806916,0.007288629737609329,0.007444168734491315,0.019305019305019305,0.008695652173913044,0.018900343642611683,0.009153318077803204,0.01699029126213592,0.014354066985645933,0.021341463414634148,0.015527950310559006,0.21063360031123354
is,0.018518518518518517,0.008375209380234505,0.01675977653631285,0.013761467889908258,0.018604651162790697,0.008645533141210375,0.01020408163265306,0.0037220843672456576,0.007722007722007722,0.013043478260869565,0.010309278350515464,0.006864988558352402,0.012135922330097087,0.009569377990430622,0.01524390243902439,0.009316770186335404,0.18279704846650655
in,0.011111111111111112,0.01507537688442211,0.00558659217877095,0.01834862385321101,0.011627906976744186,0.025936599423631124,0.02040816326530612,0.0037220843672456576,,0.02391304347826087,0.003436426116838488,0.013729977116704805,,0.011961722488038277,0.006097560975609756,,0.17095518823589445
on,0.011111111111111112,0.018425460636515914,0.0111731843575419,0.01834862385321101,0.0069767441860465115,0.01729106628242075,0.004373177842565598,0.0012406947890818859,0.003861003861003861,0.008695652173913044,0.013745704467353952,0.016018306636155607,0.007281553398058253,0.009569377990430622,0.009146341463414634,0.006211180124223602,0.16346918317304826
sid,0.007407407407407408,,,0.01834862385321101,0.009302325581395349,0.005763688760806916,0.0014577259475218659,0.0012406947890818859,0.03088803088803089,,0.00859106529209622,0.002288329519450801,0.03398058252427184,0.011961722488038277,0.024390243902439025,0.003105590062111801,0.1587260310158633
sigint,0.014814814814814815,0.0016750418760469012,0.00558659217877095,0.013761467889908258,0.030232558139534883,0.002881844380403458,0.007288629737609329,,0.023166023166023165,0.002173913043478261,0.001718213058419244,0.009153318077803204,0.007281553398058253,,0.024390243902439025,0.012422360248447204,0.15654657391175691
a,0.011111111111111112,0.01675041876046901,0.00558659217877095,0.009174311926605505,0.004651162790697674,0.011527377521613832,0.016034985422740525,0.0024813895781637717,0.007722007722007722,0.013043478260869565,0.006872852233676976,0.004576659038901602,0.014563106796116505,0.004784688995215311,0.006097560975609756,0.012422360248447204,0.147400063561017
si,0.018518518518518517,0.0033500837520938024,0.0111731843575419,0.009174311926605505,0.004651162790697674,0.01440922190201729,0.0029154518950437317,0.0024813895781637717,0.007722007722007722,0.004347826086956522,0.003436426116838488,0.013729977116704805,0.0048543689320388345,0.004784688995215311,0.006097560975609756,0.021739130434782608,0.13338531110083623
s,0.011111111111111112,0.008375209380234505,,0.009174311926605505,0.009302325581395349,0.011527377521613832,0.011661807580174927,,,,0.001718213058419244,0.02288329519450801,0.009708737864077669,,0.003048780487804878,0.034161490683229816,0.13267266038917483
fouo,0.007407407407407408,0.0016750418760469012,0.01675977653631285,0.009174311926605505,0.011627906976744186,0.002881844380403458,0.0058309037900874635,0.00620347394540943,0.011583011583011582,0.006521739130434782,0.006872852233676976,0.002288329519450801,0.012135922330097087,0.011961722488038277,0.01524390243902439,0.003105590062111801,0.1312737366248629
ï,0.003703703703703704,0.0016750418760469012,0.01675977653631285,0.013761467889908258,0.002325581395348837,0.005763688760806916,0.0014577259475218659,0.02357320099255583,0.011583011583011582,0.002173913043478261,0.015463917525773196,0.004576659038901602,0.007281553398058253,0.0023923444976076554,0.009146341463414634,0.003105590062111801,0.12474351771456216
for,0.014814814814814815,0.0016750418760469012,0.0111731843575419,0.0045871559633027525,0.009302325581395349,0.005763688760806916,0.01020408163265306,0.004962779156327543,0.003861003861003861,0.002173913043478261,0.018900343642611683,0.011441647597254004,0.0048543689320388345,0.009569377990430622,0.009146341463414634,,0.12243006867312113
that,0.007407407407407408,0.01340033500837521,,,0.009302325581395349,0.002881844380403458,0.018950437317784258,,,0.017391304347826087,0.005154639175257732,0.018306636155606407,0.0024271844660194173,0.007177033492822967,0.009146341463414634,0.009316770186335404,0.12086225898264831
from,0.007407407407407408,0.008375209380234505,0.0111731843575419,0.009174311926605505,0.004651162790697674,0.005763688760806916,0.0029154518950437317,0.0024813895781637717,0.007722007722007722,0.008695652173913044,0.006872852233676976,0.006864988558352402,0.012135922330097087,0.004784688995215311,0.006097560975609756,0.009316770186335404,0.11443224927170913
